id,mes,data_registro,placa,item,fonte,tipo_manutencao,status,ordem_servico,conclusao,data_servico
94,JULHO,2025-07-14,GAP2B81,FALHA DA REGENERAÇÃO,CHECKLIST,CORRETIVA,CONCLUÍDO,,FINALIZADO,
95,JULHO,2025-07-14,GAT5D14,VERIFICAR PNEUS,CHECKLIST,CORRETIVA,PENDENTE,,,
96,JULHO,2025-07-14,GAT5D82,PNEUS ATUALIZADO GAT5D82/GAT5C61/GAT5J61,OUTRO,CORRETIVA,CONCLUÍDO,,ATUALIZADO,2025-07-17
97,JULHO,2025-07-14,GAT9I62,VERIFICAR VAZAMENTO NAS TAMPAS DE VISITA,CHECKLIST,CORRETIVA,PENDENTE,,,
98,JULHO,2025-07-15,GAT5D62,PNEUS ATUALIZADOS DO CONJUNTO,OUTRO,PREVENTIVA,CONCLUÍDO,,VERIFICADO,2025-07-15
99,JULHO,2025-07-15,GAT6A83,"CT COM VAZAMENTO DE AR, BALÃO DEMORA MUITO PARA ENCHER",CHECKLIST,CORRETIVA,PENDENTE,,,
100,JULHO,2025-07-15,GAT6A83,ITEM EM DPLICIDADE,CHECKLIST,CORRETIVA,PENDENTE,,,
101,JULHO,2025-07-08,QGV7B82,VAZAMENTO DE AR,CHECKLIST,CORRETIVA,PENDENTE,,,
102,JULHO,2025-07-14,GAT5D82,VERIFICAR OS PÉS DA CARRETA GAT5C61,CHECKLIST,CORRETIVA,PENDENTE,,,
103,JULHO,2025-07-21,GAT6J84,AR CONDICIONADO SEM FUNCIONAR,CHECKLIST,CORRETIVA,CONCLUÍDO,,,
104,JULHO,2025-07-21,GAT6J84,ALINHAMENTO E BALANCEAMENTO,CHECKLIST,CORRETIVA,CONCLUÍDO,,,
105,JULHO,2025-07-21,GAT7G11,ÁGUA DO RESERVATÓRIO DO RADIADOR BAIXANDO,CHECKLIST,CORRETIVA,PENDENTE,,,
106,AGOSTO,2025-08-21,GAP1D62,ATUALIZADO PNEUS DO CONJUNTO,OUTRO,,CONCLUÍDO,,ATUALIZADO CONJUNTO,2025-08-21
107,JULHO,2025-07-21,GAT5C86,RASTREADOR COM PERDA DE SINAL,CHECKLIST,CORRETIVA,PENDENTE,,,
108,JULHO,2025-07-21,GAT5C86,BOMBA DE DESCARGA SEMPRE PARA E RECOMEÇA EM MEIO A OPERAÇÃO,CHECKLIST,CORRETIVA,PENDENTE,,,
109,JULHO,2025-07-22,GAP2B64,PINTURA PRECISANDO DE RETOQUE,CHECKLIST,CORRETIVA,PENDENTE,,,
